question_number,category,question,correct_answer,model_answer,is_correct
208,中医内科,"题干描述：肺痈溃脓期的治法是
选项A：养阴清肺
选项B：清肺化痰
选项C：养阴补肺
选项D：排脓解毒
选项E：益气养阴",D,D、排脓解毒,False
209,中医内科,"题干描述：喘脱危象，宜急服
选项A：回阳救急汤
选项B：苏子降气汤
选项C：参附汤送服黑锡丹
选项D：控涎丹
选项E：紫金丹",C,选项A: 回阳救急汤,False
210,方剂学,"题干描述：麻子仁丸和济川煎都具有的功用是
选项A：泻热
选项B：行气
选项C：润肠
选项D：滋阴
选项E：养血",C,A、泻热,False
211,中医内科,"题干描述：湿热腰痛的特点是
选项A：腰部疼痛，重着而热
选项B：腰痛如刺，痛有定处
选项C：腰部冷痛重着
选项D：腰部隐痛
选项E：腰部酸软无力",A,A、腰部疼痛，重着而热,False
212,中药学,"题干描述：治疗温病气分证和疮溃不敛的药物是
选项A：石膏
选项B：夏枯草
选项C：知母
选项D：芦根
选项E：淡竹叶",A,选项A：石膏,False
213,针灸学,"题干描述：治疗局部皮肤麻木或功能减退，常选的拔罐法是
选项A：留罐法
选项B：走罐法
选项C：闪罐法
选项D：刺血拔罐法
选项E：留针拔罐法",C,选项D：刺血拔罐法,False
214,中医儿科学,"题干描述：治疗麻疹逆证邪毒闭肺证的首选方剂是
选项A：定喘汤
选项B：苏葶丸
选项C：清宁散
选项D：葶苈大枣泻肺汤
选项E：麻杏石甘汤",E,D、葶苈大枣泻肺汤,False
215,中医诊断学,"题干描述：神志不清，语言重复，声音低微，时断时续称为
选项A：独语
选项B：错语
选项C：狂言
选项D：谵语
选项E：郑声",E,选项A：独语,False
216,中医外科,"题干描述：下列哪一项为尖锐湿疣的中医病因病机
选项A：湿热秽浊由下焦前阴入侵，阻于膀胱及肝经
选项B：湿热秽浊之邪侵及肝经、下注阴部
选项C：风热毒邪搏于肌肤而生
选项D：秽浊之毒酿生湿热，下注皮肤黏膜
选项E：淫秽疫毒与湿热、风邪杂合所致",D,选项D：秽浊之毒酿生湿热，下注皮肤黏膜,False
217,中医内科,"题干描述：患者男性，65岁，排尿不畅3年，加重1个月，小便点滴而出，小腹胀痛，腰膝酸痛，神疲乏力，畏寒肢冷，舌质淡，苔白，脉沉细无力，应诊为
选项A：淋证
选项B：关格
选项C：少尿
选项D：腰痛
选项E：癃闭",E,选项C：少尿,False
218,中医基础理论,"题干描述：具有“喜燥恶湿”生理特性的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",C,选项C：脾,False
219,方剂学,"题干描述：麻子仁丸的组成药物中不含
选项A：大黄
选项B：枳实
选项C：当归
选项D：杏仁
选项E：芍药",C,选项E、芍药，麻子仁丸的组成药物中不含芍药。,False
220,中药学,"题干描述：白头翁多用于治疗
选项A：热毒血痢
选项B：肠痈腹痛
选项C：肺痈胸痛，咳吐脓血
选项D：乳痈肿痛
选项E：热毒壅盛之斑疹不畅或色紫暗",A,C、肺痈胸痛，咳吐脓血,False
221,针灸学,"题干描述：针灸治疗遗尿，常选的耳穴是
选项A：肾、膀胱、尿道、皮质下
选项B：膀胱、三焦、脾、肺
选项C：尿道、肾、三焦、肺
选项D：内分泌、膀胱、脾、肺
选项E：肾、脾、肺、尿道",A,A: 肾、膀胱、尿道、皮质下,False
222,中医内科,"题干描述：患者男性，40岁，急性发病，发病半日，尿道窘迫疼痛，少腹拘急，腰部绞痛，大便秘结，曾发作二次排尿突然中断。舌质红，苔黄腻，脉弦紧数。应选用的主方为
选项A：石韦散
选项B：八正散
选项C：沉香散
选项D：四妙丸
选项E：大柴胡汤",A,选项A：石韦散,False
223,中医外科,"题干描述：下列哪项不是外科辨病的方法
选项A：详询病史
选项B：全面体检
选项C：注重局部
选项D：选用新技术和必要的辅助检查
选项E：综合诊断，治疗得当",E,A、详询病史不是外科辨病的方法。它属于内科医生或家庭医生的工作范围，用来了解患者的健康状况和疾病情况。外科医生则更关注局部问题，通过全面体检、选用新技术和必要的辅助检查以及综合诊断治疗得当来确定并处理外科性疾病。,False
224,中医内科,"题干描述：胸痹气阴两虚证，其临床特点是
选项A：胸部刺痛，入夜尤甚
选项B：胸闷隐痛，时作时止
选项C：胸闷如窒，气短喘促
选项D：胸闷气短，畏寒肢冷
选项E：胸痛彻背，感寒痛甚",B,选项A、C、D。这些选项中描述了胸部疼痛和气阴两虚的临床特点，包括胸部刺痛（入夜尤甚）、胸闷如窒、气短喘促、胸闷气短、畏寒肢冷等。选项E 描述的是感冒症状，不属于胸痹气阴两虚证。,False
225,方剂学,"题干描述：当归补血汤重用黄芪为君，意在
选项A：补气生血
选项B：补气固表
选项C：补气托毒
选项D：补气行血
选项E：补气行水",A,选项A、补气生血。当归（Angelica sinensis）主要用于补血，黄芪（Radix Astragali)则是补气和滋阳。两药结合可以更好地补充血和气。,False
226,中医基础理论,"题干描述：具有司呼吸作用的气是
选项A：元气
选项B：宗气
选项C：营气
选项D：卫气
选项E：脏腑之气",B,选项A：元气,False
227,方剂学,"题干描述：越鞠丸的君药是
选项A：栀子
选项B：苍术
选项C：川芎
选项D：神曲
选项E：香附",E,选项A：栀子,False
228,中药学,"题干描述：矿石贝壳药的煎法是
选项A：武火急煎
选项B：文火久煎
选项C：武火久煎
选项D：文火略煎
选项E：另煎兑入",B,选项B：文火久煎,False
229,中药学,"题干描述：具有祛风解表止血功效的药物是
选项A：藁本
选项B：白芷
选项C：羌活
选项D：防风
选项E：荆芥",E,选项B：白芷,False
230,中医诊断学,"题干描述：在按诊中，用指掌稍用力寻抚胸腹、腧穴等部位称为
选项A：触法
选项B：摸法
选项C：按法
选项D：直接叩击法
选项E：间接叩击法",B,选项C：按法,False
231,中医基础理论,"题干描述：何曰“润下”
选项A：木
选项B：火
选项C：土
选项D：金
选项E：水",E,选项A：木,False
232,中医诊断学,"题干描述：下列哪项不是表证必备的特点
选项A：感受外邪所致
选项B：起病急
选项C：病位浅
选项D：病程短
选项E：必发展为里证",E,"E: 必发展为里证

在中医的表证阶段，主要特点是感受外邪所致、起病急、病位浅、病程短。这些特征用于诊断和区分表证的存在。而必发展为里证则不是表证必备的特点，因为表证可能会自然缓解或转化为其他类型的疾病，并不一定要必发展为里证。",False
233,中医儿科学,"题干描述：患儿，男，2岁。初起发热、流涕、咳嗽，咳嗽以入夜为甚，咳声不扬，尚未发生痉咳，舌苔薄白。治疗首选方剂为
选项A：桑白皮汤
选项B：三拗汤
选项C：沙参麦冬汤
选项D：人参五味子汤
选项E：清燥救肺汤",B,D、人参五味子汤,False
234,中医内科,"题干描述：胃痛暴作，恶寒喜暖，得温痛减，遇寒加重，口淡不渴，或喜热饮，舌淡苔薄白，脉弦紧。证属
选项A：寒邪客胃证
选项B：饮食伤胃证
选项C：肝气犯胃证
选项D：湿热中阻证
选项E：瘀血停胃证",A,A: 寒邪客胃证,False
235,中医儿科学,"题干描述：反复呼吸道感染，肺脾气虚证的表现不包括
选项A：面黄少华
选项B：腰膝酸软
选项C：少气懒言
选项D：自汗多汗
选项E：脉无力，指纹淡",B,选项A：面黄少华（面色发黄、脸颊肿起）不是肺脾气虚证的表现。,False
236,中医诊断学,"题干描述：下列哪项是形盛气衰的表现
选项A：体胖能食，肌肉坚实
选项B：体胖食少，神疲乏力
选项C：形瘦能食，舌红苔黄
选项D：形瘦颧红，皮肤干焦
选项E：卧床不起，骨瘦如柴",B,D: 形瘦颧红，皮肤干焦,False
237,方剂学,"题干描述：甘露消毒丹的组成药物中含有
选项A：茵陈
选项B：青蒿
选项C：茵陈
选项D：青蒿
选项E：茵陈",A,A、C、茵陈,False
238,方剂学,"题干描述：猪苓汤中配伍阿胶的用意是
选项A：滋阴补血
选项B：补血止血
选项C：润肺止咳
选项D：养血益气
选项E：滋阴润燥",E,选项A、D：滋阴补血和养血益气都是中医药的基本效果之一，但在这个问题中，更具体地说，猪苓汤配伍阿胶的用意主要是滋阴补血。因为阿胶是一种常见的中药材，它具有滋阴、补血、湿滑等效果，在猪苓汤中配伍可以更好地实现滋阴补血的目的。选项C、D也是中药的基本效果之一，但在这个问题中并不是主要用途。,False
239,中医儿科学,"题干描述：猩红热的典型舌象为
选项A：地图舌
选项B：红绛舌
选项C：霉酱苔
选项D：镜面舌
选项E：草莓舌",E,选项B：红绛舌,False
240,中药学,"题干描述：桔梗与贝母都能够治疗的病证是
选项A：肠痈
选项B：乳痈
选项C：疮痈
选项D：肺痈
选项E：瘰疬",D,"A、C、B 桔梗与贝母都能治疗肠痈和疮痈，乳痈也是其中之一。 Beyung (Fructus Forsythiae) and Zhi Ke (Fructus Aurantii Immaturus) are both used in Traditional Chinese Medicine to treat skin conditions such as abscesses, boils, and furuncles. However, they do not typically treat pulmonary conditions like lung abscesses or pneumonia, so option D (肺痈) and E (瘰疬) are incorrect in this context.",False
241,中医内科,"题干描述：肾虚头痛的特征为
选项A：头昏胀痛
选项B：头痛昏蒙
选项C：头痛如裹
选项D：头痛且空
选项E：头痛而晕",D,选项D：头痛且空,False
242,中医内科,"题干描述：患者沉默痴呆，语无伦次，静而多喜。其诊断是
选项A：癫证
选项B：狂证
选项C：痛证
选项D：痉证
选项E：中风",A,选项A：癫证,False
243,中医儿科学,"题干描述：治疗风疹邪入气营证的首选方剂是
选项A：银翘散
选项B：白虎汤
选项C：透疹凉解汤
选项D：清气凉营汤
选项E：解肌透痧汤",C,选项A：银翘散,False
244,中医内科,"题干描述：下列哪项是血鼓的特征
选项A：腹部部胀满膨大
选项B：嗳气或矢气则舒
选项C：腹臌大如蛙腹
选项D：按之如囊裹水
选项E：常伴下肢浮肿",A,A、腹部部胀满膨大,False
245,中医诊断学,"题干描述：真寒假热证产生的机理是
选项A：阴盛格阳
选项B：阳盛格阴
选项C：阴不敛阳
选项D：阳不敛阴
选项E：表热里寒",A,选项A：阴盛格阳,False
246,中医内科,"题干描述：下列哪一项不是瘀血阻络胁痛的特点
选项A：胁肋刺痛
选项B：胸闷腹胀
选项C：痛有定处
选项D：入夜痛甚
选项E：舌质紫暗",B,选项D：入夜痛甚，这不是瘀血阻络胁痛的特点。入夜痛甚通常是表示内脏炎症或疾病，而瘀血阻络胁痛则主要表现为胁肋刺痛、胸闷腹胀、痛有定处和舌质紫暗。,False
247,中医内科,"题干描述：痫病瘀阻脑络证的治法为
选项A：理气化痰，活血化瘀
选项B：行气解郁，化瘀通络
选项C：活血化瘀，熄风通络
选项D：活血化瘀，开窍醒神
选项E：理气化痰，醒脑通窍",C,选项D、活血化瘀，开窍醒神,False
248,中医诊断学,"题干描述：眩晕欲仆，肢体震颤，步履不稳，舌红脉弦有力属于
选项A：血虚生风
选项B：热极生风
选项C：阴虚动风
选项D：肝阳上亢
选项E：肝阳化风",E,选项C：阴虚动wind,False
249,中医儿科学,"题干描述：脾肾阳虚泻的治法为
选项A：健脾温阳，助运止泻
选项B：健脾益气，酸甘敛阴
选项C：补肾滋阴，平肝降火
选项D：温补脾肾，固涩止泻
选项E：挽阴回阳，救逆固脱",D,选项A：健脾温阳，助运止泻,False
250,中医儿科学,"题干描述：以下哪一项不属于麻疹初起的临床症状
选项A：发热
选项B：咳嗽
选项C：两目畏光
选项D：咽部有出血性红点
选项E：口腔两颊黏膜近臼齿处可见麻疹黏膜斑",D,选项E：口腔两颊黏膜近臼齿处可见麻疹黏膜斑 不属于麻疹初起的临床症状。麻疹初始阶段主要表现为发热、咳嗽和两目畏光，出血性红点是后期发展的症状。,False
251,中药学,"题干描述：黄芪与茯苓配伍，茯苓能增强黄芪的补气利水作用，这种配伍关系是
选项A：相须
选项B：相使
选项C：相反
选项D：相恶
选项E：相畏",B,选项B：相使,False
252,中医儿科学,"题干描述：下列不属于内伤咳嗽证的是
选项A：痰热咳嗽证
选项B：痰湿咳嗽证
选项C：气虚咳嗽证
选项D：阴虚咳嗽证
选项E：风寒咳嗽证",E,D、阴虚咳嗽证,False
253,方剂学,"题干描述：黄土汤的功用是
选项A：温脾散寒，涩肠止泻
选项B：温中散寒，益气健脾
选项C：温阳健脾，益气摄血
选项D：温阳健脾，养血止血
选项E：温肾暖脾，渗湿止泻",D,A、温脾散寒，涩肠止泻,False
254,方剂学,"题干描述：小蓟饮子的组成药物中不包括
选项A：藕节
木通
选项B：当归
蒲黄
选项C：生地
滑石
选项D：栀子
淡竹叶
选项E：大黄
车前子",E,选项A：木通,False
255,方剂学,"题干描述：四逆汤和理中丸中均含有的药物是
选项A：人参
选项B：大黄
选项C：甘草
选项D：白术
选项E：干姜",E,"C、Gan Cao (Gan Cao, Glycyrrhiza uralensis Fisch.)
D、Huang Qin (Huang Qin, Scutellaria baicalensis Georgi)
A、Sheng Jiang (Sheng Jiang, Zingiber officinale Roscoe) 不在四逆汤和理中丸中
B、Da Huang (Da Huang, Rheum palmatum L.) 不在四逆汤和理中丸中
D、Bai Zhu (Bai Zhu, Atractylodes macrocephala Koidz.) 在四逆汤中，但不在理中丸中
E、Gan Jiang (Gan Jiang, Zingiber officinale Roscoe) 不在四逆汤和理中丸中",False
256,中医诊断学,"题干描述：小儿口角流涎多属于
选项A：脾气虚弱
选项B：湿热内蕴
选项C：心脾积热
选项D：肝风内动
选项E：胃气虚弱",A,选项B：湿热内蕴,False
257,针灸学,"题干描述：痛经实证的针灸治疗宜选取
选项A：中脘、次髎、地机、三阴交
选项B：中极、次髎、地机、三阴交
选项C：关元、足三里、阴陵泉
选项D：关元、足三里、三阴交
选项E：关元、气海、三阴交",B,选项A：中脉、次髎、地机、三阴交,False
258,中药学,"题干描述：均善于治疗肺痈的药物是
选项A：金银花、连翘
选项B：生地黄、玄参
选项C：鱼腥草、芦根
选项D：牡丹皮、赤芍
选项E：地骨皮、白薇",C,选项A：金银花、连翘,False
259,方剂学,"题干描述：天王补心丹中配伍茯苓意在
选项A：宁心
选项B：健脾
选项C：消痰
选项D：渗湿
选项E：利水",A,A、宁心,False
260,方剂学,"题干描述：由黄连、半夏、瓜蒌组成的方剂是
选项A：半夏泻心汤
选项B：大陷胸汤
选项C：滚痰丸
选项D：小陷胸汤
选项E：清气化痰丸",D,选项C、滚痰丸,False
261,中医基础理论,"题干描述：具有“主治节”功能的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",D,选项B：心,False
262,中药学,"题干描述：下列哪组药物是辛凉解表药
选项A：薄荷、桑叶、荆芥
选项B：蝉衣、柴胡、菊花
选项C：柴胡、淡豆豉、防风
选项D：牛蒡子、苍耳子、升麻
选项E：蔓荆子、辛夷、葛根",B,选项B：蝉衣、柴胡、菊花,False
263,方剂学,"题干描述：方中芍药与甘草配伍以和里缓急的方剂是
选项A：阳和汤
选项B：逍遥散
选项C：桂枝汤
选项D：小建中汤
选项E：痛泻要方",D,选项B：逍遥散,False
264,中医基础理论,"题干描述：“决渎之官”指的是
选项A：胆
选项B：胃
选项C：小肠
选项D：三焦
选项E：膀胱",D,选项D：三焦,False
265,中药学,"题干描述：在“十八反”中，下列除哪味药物外均与乌头相反
选项A：玄参
选项B：白及
选项C：贝母
选项D：瓜蒌
选项E：半夏",A,选项E：半夏 与乌头相反，因为在“十八反”中，乌头属于暖药，而半夏则是属于凉药。,False
266,针灸学,"题干描述：治疗暴病耳聋，鸣声隆隆，伴畏寒，发热，脉浮，宜在翳风、听会、侠溪、中渚基础上，加取
选项A：太冲、丘墟
选项B：外关、合谷
选项C：风门、肺俞
选项D：丰隆、脾俞
选项E：足三里、三阴交",B,选项A：太冲、丘墟,False
267,针灸学,"题干描述：耳后两乳突之间的骨度分寸是
选项A：4寸
选项B：6寸
选项C：8寸
选项D：9寸
选项E：12寸",D,选项B：6寸,False
268,中药学,"题干描述：青皮与陈皮的功效区别是
选项A：陈皮理脾胃之气，消积化滞；青皮理肝气，散寒止痛
选项B：陈皮理脾胃之气，燥湿化痰；青皮理肝气，活血止痛
选项C：陈皮理脾胃之气，降气化痰；青皮理肝气，消积化滞
选项D：陈皮理脾胃之气，降气化痰；青皮理肝气，活血调经
选项E：陈皮理脾胃之气，燥湿化痰；青皮理肝气，消积化滞",E,"A、 Chen Pi (Tangerine Peel) rationalizes the Spleen and Stomach's Qi, eliminates stagnation and promotes digestion.
Qing Pi (Lime Peel) rationalizes Liver Qi, disperses cold and stops pain.",False
269,中医内科,"题干描述：治疗痰热郁肺型肺胀的首选方剂是
选项A：清金化痰汤
选项B：越婢加半夏汤
选项C：小青龙加石膏汤
选项D：麻杏石甘汤
选项E：定喘汤",B,选项A：清金化痰汤,False
270,中医诊断学,"题干描述：外感热病，气分热盛的脉象是
选项A：浮数
选项B：滑数
选项C：洪数
选项D：濡数
选项E：弦数",C,选项A：浮数,False
271,中医基础理论,"题干描述：感邪后缓慢发病是
选项A：徐发
选项B：合病
选项C：复发
选项D：感而即发
选项E：伏而后发",A,选项A：徐发,False
272,中药学,"题干描述：具有健脾补中，升阳举陷，益卫固表，托毒生肌，利水消肿功效的药物是
选项A：人参
选项B：西洋参
选项C：党参
选项D：太子参
选项E：黄芪",E,D、太子参,False
273,针灸学,"题干描述：关于十二经别的作用，描述不正确的是
选项A：加强了十二经脉的内外联系
选项B：对十二经气血有蓄积和渗灌调节作用
选项C：加强了经脉所属络的脏腑在体腔深部的联系
选项D：补充了十二经脉在体内外循行的不足
选项E：扩大了经穴的主治范围",B,选项E：扩大了经穴的主治范法，这是错误的。中医理论中，每个经穴都有自己的主治范围，并不会因为对某一经脉作用而扩大其主治范围。,False
274,针灸学,"题干描述：某女，20岁，食海鲜后皮肤出现大小不等，形状不一的风团，高起皮肤，边界清楚，色红，瘙痒，伴恶心,，肠鸣泄泻，舌红，苔黄腻，脉滑数。除曲池、合谷、血海、膈俞、三阴交外，应加取
选项A：外关、风池
选项B：足三里、天枢
选项C：三阴交、天枢
选项D：足三里、大横
选项E：三阴交、风池",B,选项A：外关、风池,False
275,中医儿科学,"题干描述：抽动障碍的病因为
选项A：脏腑阴阳失调
选项B：五志过极，风痰内蕴
选项C：元气未充，心神怯弱
选项D：肝常有余，肝风内动
选项E：脾虚肝旺，肝风扰动",B,E: 脾虚肝旺，肝风扰动,False
276,中药学,"题干描述：人参入汤剂的用法是
选项A：先煎
选项B：后下
选项C：包煎
选项D：另煎
选项E：泡服",D,选项C：包煎,False
277,中医儿科学,"题干描述：小儿咳嗽的主要内因是
选项A：肺脾虚弱
选项B：肝肾阴虚
选项C：肺肾两虚
选项D：肝脾不和
选项E：心脾两虚",A,选项A：肺脾虚弱,False
278,中医内科,"题干描述：治疗悬饮饮停胸胁证宜选用
选项A：柴枳半夏汤
选项B：香附旋覆花汤
选项C：椒目瓜蒌汤合十枣汤
选项D：沙参麦冬汤合泻白散
选项E：苓桂术甘汤合小半夏加茯苓汤",C,"根据中医治疗悬饮饮停胸胁证的原则，主要是清热解毒、调经平脉、消肿止痛等方面。因此，可以选择：

选项A：柴枳半夏汤，是一种常用的清热解毒、消肿止痛的方案，适合于悬饮饮停证中的热寒不定、胸胁疼痛、腹胀等症状。
选项D：沙参麦冬汤合泻白散，是一种调经平脉的方案，适合于悬饮饮停证中的腰痛、胸胁疼痛等症状。
选项E：苓桂术甘汤合小半夏加茯苓汤，是一种消肿止痛的方案，适合于悬饮饮停证中的胸胁疼痛、腹胀等症状。

因此，可以选择A、D或E之一作为治疗方案，具体选择需要根据患者个体情况进行调整。",False
279,中医外科,"题干描述：患者女性，24岁，左乳房内单个肿块，无疼痛，边界清楚，表面光滑，活动度好，应诊断为
选项A：乳癖
选项B：乳核
选项C：乳痈
选项D：乳岩
选项E：乳疬",B,D、乳岩,False
280,中医儿科学,"题干描述：痫证患儿，发作时突然仆倒，神志不清，颈项及全身强直，继而四肢抽搐，两目上视，牙关紧闭，口吐白沫，口唇及面部色青，舌苔白，脉弦滑。治疗应首选方剂是
选项A：定痫丸
选项B：远志丸
选项C：定魄丸
选项D：镇惊丸
选项E：涤痰汤",A,选项A、定痫丸,False
281,中医内科,"题干描述：治疗行痹，应首选
选项A：乌头汤
选项B：薏苡仁汤
选项C：防风汤
选项D：宣痹汤
选项E：白虎加桂枝汤",C,D：宣痹汤,False
282,针灸学,"题干描述：下列五输穴中，属于本经子穴的是
选项A：大都
选项B：中渚
选项C：行间
选项D：解溪
选项E：少府",C,选项A: 大都,False
283,中医诊断学,"题干描述：鼻流浊涕者，多属
选项A：外感风热
选项B：胆经湿热
选项C：阳气虚弱
选项D：外感风寒
选项E：阴虚肺燥",A,选项A、B、D：外感风热、胆经湿热、外感风寒,False
284,中医诊断学,"题干描述：迟脉的主病是
选项A：虚热证
选项B：痰饮
选项C：寒证
选项D：血瘀
选项E：气滞",C,选项A：虚热证,False
285,中医内科,"题干描述：胸痹的主要病机为
选项A：气滞血瘀
选项B：寒凝气滞
选项C：痰瘀交阻
选项D：阳气虚衰
选项E：心脉痹阻",E,A、气滞血瘀,False
286,中医儿科学,"题干描述：患儿18个月。乳牙未萌出。以下诊断中可能性最大的是
选项A：佝偻病
选项B：龋齿
选项C：解颅
选项D：肥胖症
选项E：脑发育不良",A,选项A、B可能是相关的诊断，因为佝偻病和龋齿都可能导致乳牙未萌出。但是，18个月时乳牙应该已经萌出了，所以在这种情况下，更可能是龋齿（选项B）。选项C、D和E则不太可能与乳牙未萌出有关。,False
287,中医内科,"题干描述：不寐之心肾不交证的主治方剂是
选项A：归脾汤
选项B：龙胆泻肝汤
选项C：黄连温胆汤
选项D：六味地黄丸合交泰丸
选项E：安神定志丸合酸枣仁汤",D,D：六味地黄丸合交泰丸,False
288,方剂学,"题干描述：吴茱萸汤和理中丸二方组成中均含有的药物是
选项A：大枣
选项B：干姜
选项C：白术
选项D：人参
选项E：吴茱萸",D,选项D、选项C、选项B、选项A。所有四种药物都是 Wu Zhu Yu Tang 和 Li Zhong Wan 的组成部分。,False
289,中药学,"题干描述：鱼腥草善于治疗的病证是
选项A：乳痈
选项B：肠痈
选项C：肺痈
选项D：疔毒
选项E：大头瘟毒",C,选项A、B、C、D中，鱼腥草（Rhizoma Alismatis）主要用于治疗肠痈（选项B）。,False
290,中药学,"题干描述：何首乌的功效是
选项A：既能化痰止咳，又能润肠通便
选项B：既能补血活血，又能润肠通便
选项C：既能补益精血，又能润肠通便
选项D：既能补肾助阳，又能润肠通便
选项E：既能利水消肿，又能润肠通便",C,A、既能化痰止咳，又能润肠通便,False
291,中医儿科学,"题干描述：水痘的隔离期为
选项A：疱疹消退后1周
选项B：发热消退后1周
选项C：疱疹与结痂并见时
选项D：痘疹出齐后
选项E：痘疹全部结痂后",E,A、疱痤消退后1周,False
292,中医内科,"题干描述：呃逆的病位与下列哪项无关
选项A：心
选项B：胃
选项C：肺
选项D：肝
选项E：肾",A,E、 肾,False
293,针灸学,"题干描述：下列经脉中，在大腿部没有经穴分布的是
选项A：足阳明胃经
选项B：足少阳胆经
选项C：足太阴脾经
选项D：足厥阴肝经
选项E：足少阴肾经",E,"选项A、足阳明胃经在大腿部有经穴分布。
选项B、足少阳胆经、选项C、足太阴脾经和选项D、足厥阴肝经在大腿部都有经穴分布。
选项E、足少阴肾经在大腿部没有经穴分布，因此是正确答案。",False
294,中药学,"题干描述：下列各项中属于消除脘腹胀满之要药的是
选项A：藿香
选项B：佩兰
选项C：苍术
选项D：厚朴
选项E：砂仁",D,A: 藿香,False
295,中医内科,"题干描述：关于真心痛气虚血瘀证临床表现，错误的是
选项A：心胸刺痛
选项B：动则加重
选项C：短气乏力
选项D：舌质暗淡
选项E：脉微欲绝",E,选项D：舌质暗淡,False
296,针灸学,"题干描述：位于脐中上4寸，前正中线旁开2寸的穴位是
选项A：不容
选项B：承满
选项C：关门
选项D：梁门
选项E：天枢",D,选项D：梁门,False
297,针灸学,"题干描述：以上哪组经脉皆与肺相联系
选项A：手太阳、足少阳、手少阳经
选项B：手阳明、足太阳、足少阳经
选项C：手太阴、手阳明、足少阳经
选项D：手少阴、足厥阴、足少阴经
选项E：手太阴、足厥阴、手太阳经",D,B: 手阳明、足太阳、足少阳经,False
298,中医儿科学,"题干描述：邪炽气营的水痘疱疹特点是
选项A：晶亮如露珠
选项B：疱疹个大且含脓液
选项C：疱浆清亮
选项D：疱浆混浊，疹色紫暗
选项E：分布稀疏",D,选项B：疱疹个大且含脓液,False
299,中药学,"题干描述：下列药物中能用于治疗失音的是
选项A：半夏
选项B：竹茹
选项C：桔梗
选项D：前胡
选项E：白芥子",C,"A、半夏（Ban Xia）可能会用于治疗失音，因为它有助于消除咽喉和肺部的郁热，缓解咳嗽和喘息。但是，这种药物不是专门用于治疗失音的，而是作为一种支持性治疗方法。

B、竹茹（Zhu Ru）通常用于消化系统的治疗，如呕吐、腹泻和便秘等问题。它不是专门用于治疗失音的药物。

C、桔梗（Zhi Ke）通常用于消除风热，缓解痹挛和疼痛，但并不是专门用于治疗失音的药物。

D、前胡（Qian Cao）通常用于消除胸闷和咳嗽，但并不是专门用于治疗失音的药物。

E、白芥子（Bai Zhi）通常用于消除风热，缓解痹挛和疼痛，但并不是专门用于治疗失音的药物。

因此，在这些选项中，没有一个明确的答案能够被认为是治疗失音的药物。",False
300,方剂学,"题干描述：痛泻要方中配伍防风的主要用意是
选项A：升发清阳
选项B：祛风解痉
选项C：疏风散寒
选项D：疏风宽肠
选项E：散肝舒脾",E,选项B：祛风解痉,False
301,中医内科,"题干描述：眩晕的治疗原则是
选项A：补虚泻实，调整阴阳
选项B：滋养肝肾，补气行血
选项C：清肝泻火，降逆化痰
选项D：平肝潜阳，养心安神
选项E：以上均不是",A,D: 平肝潜阳，养心安神,False
302,针灸学,"题干描述：耳穴“耳尖”的主治病证是
选项A：发热、高血压、急性结膜炎
选项B：呃逆、荨麻疹、皮肤瘙痒症
选项C：胃肠痉挛、心绞痛、胆绞痛
选项D：腹泻、痛经、失眠
选项E：盆腔炎、附件炎、痛经",A,选项B：呃逆、荨麻疹、皮肤瘙痒症,False
303,针灸学,"题干描述：某男，70岁，大便艰涩，排出困难，腹中冷痛，面色(白光)白，四肢不温，畏寒喜暖，小便清长，舌淡苔白，脉沉迟。治疗本病，除主穴外，还应加用
选项A：合谷、内庭
选项B：太冲、中脘
选项C：脾俞、气海
选项D：神阙、关元
选项E：足三里、三阴交",D,选项A、合谷、内庭,False
304,针灸学,"题干描述：属于手太阳小肠经的腧穴是
选项A：听会
选项B：听宫
选项C：耳门
选项D：神门
选项E：下关",B,选项D：神门,False
305,中医儿科学,"题干描述：患儿，5岁。3个月前曾患肺炎，病愈后一直不思进食，食而不化，大便稀薄，夹有不消化食物，形体较瘦，乏力肢倦，舌质淡，苔薄白。治疗应首选
选项A：肥儿丸
选项B：枳术丸
选项C：异功散
选项D：保和丸
选项E：四君子汤",C,选项B：枳术丸,False
306,中医诊断学,"题干描述：以下哪项不是实喘的特征
选项A：发作急骤
选项B：呼吸深长
选项C：息粗声高
选项D：呼多吸少
选项E：张口抬肩",D,选项B：呼吸深长。实喘的特点是呼吸快速、浅短，而不是深长。,False
307,中医儿科学,"题干描述：皮肤黏膜淋巴结综合征卫气同病的首选方剂为
选项A：银翘散
选项B：桑菊饮
选项C：清瘟败毒饮
选项D：沙参麦冬汤
选项E：小建中汤",A,选项A：银翘散,False
308,中医儿科学,"题干描述：患儿，6岁。咳嗽喘促1天。证见喘促气急，咳嗽痰鸣，恶寒发热，鼻流清涕，咯痰黄稠，口渴，大便干，舌红，苔白，脉滑数。其治法是
选项A：温肺散寒，化痰定喘
选项B：清肺涤痰，止咳平喘
选项C：解表清里，止咳定喘
选项D：泻肺补肾，标本兼顾
选项E：健脾温肾，固摄纳气",C,选项A：温肺散寒，化痰定喘,False
309,中医基础理论,"题干描述：具有加强十二经脉中相为表里的两条经脉之间在体内联系作用的是
选项A：经筋
选项B：经别
选项C：别络
选项D：皮部
选项E：奇经",B,选项C：别络,False
